phase,edge_void_pct,chip_offset_p95_um,warpage_um,cycle_time_index
Before synthetic baseline,1.8582228410251111,35.62604434996253,943.9883604392393,100.0495941500695
Before synthetic baseline,1.3991609409723358,41.02263835974257,919.6288124470656,104.06759978346271
Before synthetic baseline,1.9776546771050383,39.2128699090342,946.073121658331,99.99293221104108
Before synthetic baseline,1.8049813018358773,40.35814286749441,866.4392804904558,100.68142807538287
Before synthetic baseline,1.6671574750686124,42.55520994350643,914.9092636656557,102.12989854010861
Before synthetic baseline,1.6003565577594394,48.485834358259204,917.0371260565137,102.49508766295638
Before synthetic baseline,1.49468482038092,40.40523871427804,931.6302072777335,101.98699525644267
Before synthetic baseline,1.8783349358760695,42.153245962484604,943.6534292471899,101.3151614820504
Before synthetic baseline,1.7322948443639408,34.24164383542936,932.9220694418523,101.63520524217084
Before synthetic baseline,1.6260812846702193,40.135069361638756,954.936049867843,101.68530560946553
Before synthetic baseline,1.3622302671000348,41.580389796111916,1006.2083340092572,102.79030346846953
Before synthetic baseline,1.7746439481789038,41.7442194551496,889.9987768239798,101.43672213524107
After simulated confirmation,0.27301742483122793,16.029325465510784,691.9871630811415,104.46317558232958
After simulated confirmation,0.39937891440087436,15.864658082293671,659.2424672735085,102.65639055124424
After simulated confirmation,0.34231348043538407,15.620922115399113,695.343309026575,104.2215907504561
After simulated confirmation,0.509678629927483,18.557929877163396,681.5337707298821,103.75587306436685
After simulated confirmation,0.44053223674600445,17.539310332717676,697.1225271664163,103.59429039314877
After simulated confirmation,0.3157038841911056,17.43872031434362,664.1455616628323,103.29395695114903
After simulated confirmation,0.44418709836068837,17.556282623681017,674.274164502803,103.54797168876408
After simulated confirmation,0.4231014231773702,17.022642080530233,652.6032638100218,104.56308681171598
After simulated confirmation,0.6185834332108294,15.795562513655597,638.675802218849,104.13582126053197
After simulated confirmation,0.3886646765012774,18.52900722640989,692.5646277832519,104.12054262757663
After simulated confirmation,0.45590950618753734,17.650428985702312,665.4376714390252,103.85756028483304
After simulated confirmation,0.3504945452325538,16.975988973682963,674.3649743038684,103.41261074671176
