emc_lot,film_roughness_class,vacuum_base_kpa_abs,zone_range_c,closing_speed_mm_s,edge_void_pct,chip_offset_p95_um,warpage_um,cycle_time_index,void_upper_3sigma_msa,offset_upper_3sigma_msa,robust_pass,primary_margin
M02,Smooth,4.5,1.5,0.85,0.3527136259094908,17.191907119140062,658.3317474661548,104.05773354048301,0.4137115007965777,18.711885189157297,True,0.06440574054213517
M02,Smooth,4.5,1.5,0.9,0.39792586134425817,17.65299982797922,659.9719289271262,103.36175940135746,0.4589237362313451,19.172977897996454,True,0.04107626376865492
M02,Smooth,4.5,1.5,0.95,0.4431380967790255,18.114092536818372,661.6121103880977,102.66578526223189,0.5041359716661123,19.634070606835607,False,-0.004135971666112348
M02,Smooth,4.5,1.5,1.0,0.48835033221379287,18.575185245657526,663.2522918490691,101.96981112310633,0.5493482071008797,20.09516331567476,False,-0.049348207100879726
M02,Smooth,4.5,1.5,1.05,0.5335625676485604,19.036277954496683,664.8924733100406,101.27383698398076,0.5945604425356472,20.556256024513917,False,-0.09456044253564722
M02,Smooth,4.5,1.5,1.1,0.5787748030833277,19.497370663335836,666.5326547710121,100.5778628448552,0.6397726779704146,21.01734873335307,False,-0.1397726779704146
M02,Smooth,4.5,1.5,1.15,0.6239870385180949,19.95846337217499,668.1728362319835,99.88188870572964,0.6849849134051818,21.478441442192224,False,-0.18498491340518175
M02,Smooth,4.5,1.75,0.85,0.4596588444438894,18.319309879331122,674.852501501632,103.99321174167333,0.5206567193309762,19.839287949348357,False,-0.020656719330976236
M02,Smooth,4.5,1.75,0.9,0.5044409888637192,18.773557830495264,676.242478476135,103.31109509148884,0.5654388637508061,20.2935359005125,False,-0.0654388637508061
M02,Smooth,4.5,1.75,0.95,0.5492231332835491,19.227805781659406,677.6324554506382,102.62897844130433,0.610221008170636,20.74778385167664,False,-0.11022100817063596
M02,Smooth,4.5,1.75,1.0,0.5940052777033791,19.682053732823544,679.0224324251412,101.94686179111983,0.6550031525904659,21.20203180284078,False,-0.15500315259046593
M02,Smooth,4.5,1.75,1.05,0.6387874221232089,20.136301683987686,680.4124093996443,101.26474514093533,0.6997852970102958,21.65627975400492,False,-0.1997852970102958
M02,Smooth,4.5,1.75,1.1,0.6835695665430389,20.590549635151827,681.8023863741474,100.58262849075082,0.7445674414301258,22.110527705169062,False,-0.24456744143012576
M02,Smooth,4.5,1.75,1.15,0.7283517109628687,21.044797586315966,683.1923633486505,99.90051184056632,0.7893495858499555,22.5647756563332,False,-0.2893495858499555
M02,Smooth,4.5,2.0,0.85,0.566604062978288,19.446712639522183,691.3732555371092,103.92868994286366,0.6276019378653749,20.966690709539417,False,-0.12760193786537488
M02,Smooth,4.5,2.0,0.9,0.6109561163831805,19.89411583301131,692.513028025144,103.26043078162022,0.6719539912702673,21.414093903028544,False,-0.17195399127026734
M02,Smooth,4.5,2.0,0.95,0.6553081697880728,20.341519026500436,693.6528005131787,102.59217162037677,0.7163060446751597,21.86149709651767,False,-0.21630604467515968
M02,Smooth,4.5,2.0,1.0,0.6996602231929653,20.788922219989566,694.7925730012133,101.92391245913333,0.7606580980800521,22.3089002900068,False,-0.26065809808005214
M02,Smooth,4.5,2.0,1.05,0.7440122765978577,21.236325413478692,695.9323454892481,101.25565329788989,0.8050101514849446,22.756303483495927,False,-0.3050101514849446
M02,Smooth,4.5,2.0,1.1,0.7883643300027501,21.68372860696782,697.0721179772828,100.58739413664645,0.8493622048898369,23.203706676985053,False,-0.34936220488983694
