shot_id,timestamp,lot,wafer,equipment,chamber,emc_lot,floor_time_h,viscosity_index,vent_pm_age,pm_event,pump_down_time_s,vacuum_base_kpa_abs,center_temp_c,edge_temp_c,zone_range_c,closing_speed_mm_s,gel_time_s,fill_time_s,process_margin_s,film_tension_delta_n,cycle_time_s,warpage_um
S001,2026-03-02 08:00:00,L01,W01,EQ01,EQ01_C2,M03,20.13276967076833,1.1153103673040876,1,0,5.702820657137106,4.433039141793081,173.45158292767454,174.07166097252792,1.0111078653930545,0.85,24.643768120596068,8.826241469216349,10.114705994242613,0.5428677963545975,104.789868303505,881.7091593153202
S002,2026-03-02 10:00:00,L01,W02,EQ02,EQ02_C1,M04,2.0,1.034513598521951,1,0,5.601088089592906,4.472804583363947,172.67424598506898,173.51436744921654,1.5481236095980937,1.0,26.754167198636022,8.338054394087802,12.815024714955314,0.11921364388526096,103.57484967864464,812.3286311172012
S003,2026-03-02 12:00:00,L01,W03,EQ02,EQ02_C2,M01,10.181948666234156,0.9708095817641819,1,0,6.053223484512049,4.556209623627854,172.4335020748392,174.38507869467063,2.3540574722952425,1.15,26.391635892727592,7.918238327056726,12.420174081158816,-0.21137625255730963,103.61059292547951,784.7921946014316
S004,2026-03-02 14:00:00,L01,W04,EQ01,EQ01_C1,M02,2.0,0.9841278240965552,1,0,5.303160713698382,4.456014861517041,172.5529873323018,173.8687382884563,2.2767113132152574,0.85,26.740329481738346,8.30151129638622,13.135657471653744,-0.29982446507297633,103.14413963972562,780.6592839488973
S005,2026-03-02 16:00:00,L01,W05,EQ01,EQ01_C2,M03,20.399999537759868,1.1076558326863446,2,0,5.5468370962311795,4.583745344255316,172.5514529082796,173.39992570582672,1.863427799877587,1.0,25.613107734640458,8.630623330745378,11.435647307663901,0.5178240264165594,104.67050417681102,768.9750459335061
S006,2026-03-02 18:00:00,L01,W06,EQ02,EQ02_C1,M04,2.0,1.0644380551638584,2,0,5.77183666760809,4.3866747091493545,172.78341038469497,172.98440939193446,1.1353833639323532,1.15,27.522606381695027,8.292752220655434,13.458017493431502,0.12247495908717447,104.197789845033,743.5550193764971
S007,2026-03-02 20:00:00,L02,W01,EQ01,EQ01_C1,M04,2.0,1.039421743791325,2,0,5.276960233748131,4.439167565608664,174.0594664280532,175.2814956244499,1.864413217816226,0.85,24.191831344547662,8.5226869751653,10.392184135634231,0.24917972781611883,103.02615733521631,839.9343806573481
S008,2026-03-02 22:00:00,L02,W02,EQ01,EQ01_C2,M01,8.922820046190221,0.9891865769814548,3,0,5.876799254845426,4.498920308001287,172.43945315712398,172.9535979351827,1.4239175451830102,1.0,28.467282993985084,8.156746307925818,14.433737431213839,0.6398203016939363,103.89558703589319,792.8023278004589
S009,2026-03-03 00:00:00,L02,W03,EQ02,EQ02_C1,M02,12.818984282727735,0.9946598237582543,3,0,5.408360495267719,4.85812199512295,172.71049902509125,173.25734911022485,1.4986728071289142,1.15,27.626843790173965,8.013639295033018,14.204843999873228,-0.11035918067142457,103.32887305585693,800.2923710271234
S010,2026-03-03 02:00:00,L02,W04,EQ02,EQ02_C2,M03,25.454216687005502,1.255844312106413,2,0,6.034355300295123,5.354785022342928,173.5107917018088,175.1527419201593,3.21588731355278,0.85,22.983075423746435,9.388377248425652,7.560342875025661,0.1513982496206211,104.09103860634833,947.1016367290922
S011,2026-03-03 04:00:00,L02,W05,EQ01,EQ01_C1,M04,7.90263259577978,1.0369482372013599,3,0,5.650416196050451,4.61093323363047,172.57914830553568,173.75524707282716,1.6054152207829313,1.0,26.40489174440062,8.347792948805438,12.40668259954473,-0.20210756830986654,104.36912080294603,794.8783036088116
S012,2026-03-03 06:00:00,L02,W06,EQ01,EQ01_C2,M01,9.420333817143081,1.0152868399721018,4,0,5.639766659706587,4.359616931846918,173.57370309153586,174.58914239826413,1.8151654660421253,1.15,26.09574352251701,8.096147359888407,12.359829502922016,0.5679686822329724,103.98377959504826,808.1189359252195
S013,2026-03-03 08:00:00,L03,W01,EQ02,EQ02_C2,M01,8.043762247799696,0.9884670910909138,3,0,6.532772289240082,5.17101324922472,172.45483750784172,174.25248266656715,3.2677712567694845,0.85,26.583900133477634,8.318868364363656,11.732259479873896,0.3028872821414271,104.48552170927772,827.3012557395148
