x_mm,y_mm,radius_mm,die_id,radial_norm,edge_distance_mm,theta_rad,void_area_ratio_pct,void_flag,dx_um,dy_um,rotation_mdeg,shot_id
-28.0,-140.0,142.772546380598,D000,0.9846382509006758,2.227453619402013,-1.7681918866447774,1.1665871942643333,1,0.6931729653340009,-13.542782074681055,-29.730761931589726,S001
-14.0,-140.0,140.69825869569246,D001,0.9703328185909825,4.301741304307541,-1.6704649792860586,1.0422936442779616,1,8.947143905272917,-17.993160677668804,1.4171414464498093,S001
0.0,-140.0,140.0,D002,0.9655172413793104,5.0,-1.5707963267948966,0.968576427123166,0,9.034951095620833,-15.146243212290475,22.50157781284164,S001
14.0,-140.0,140.69825869569246,D003,0.9703328185909825,4.301741304307541,-1.4711276743037347,1.007786919548557,1,4.7087277685487425,-17.097102571731405,-7.7975956645282976,S001
28.0,-140.0,142.772546380598,D004,0.9846382509006758,2.227453619402013,-1.373400766945016,1.113215004431816,1,13.214451798510055,-14.726359821242424,-1.7153108153620003,S001
-70.0,-126.0,144.138821973818,D005,0.9940608411987449,0.8611780261819888,-2.0778948311872334,1.3270999200808962,1,-8.090104875738607,-12.721081111215998,-2.6185098560543847,S001
-56.0,-126.0,137.88400922514546,D006,0.9509242015527273,7.115990774854538,-1.9890206563741257,0.9128627672953051,0,-4.1635787616264395,-11.09878454332935,5.36323241297383,S001
-42.0,-126.0,132.81566172707193,D007,0.9159700808763581,12.184338272928073,-1.892546881191539,0.651816607618666,0,-7.356459833176278,-10.40458703378358,13.858018924018983,S001
-28.0,-126.0,129.07362240210043,D008,0.8901629131179339,15.926377597899574,-1.7894652726688385,0.469569565753848,0,5.131009134267605,-6.805253274685708,9.863035834635562,S001
-14.0,-126.0,126.77539193392383,D009,0.8743130478201643,18.224608066076172,-1.6814535479687922,0.5664029398285398,0,4.049488014895785,-3.245492121422929,-4.322403804519237,S001
0.0,-126.0,126.0,D010,0.8689655172413793,19.0,-1.5707963267948966,0.43822837998061503,0,7.1092266259330135,-5.837087580842001,19.00871441660163,S001
14.0,-126.0,126.77539193392383,D011,0.8743130478201643,18.224608066076172,-1.460139105621001,0.3825455419820296,0,7.210742720866266,-7.823133461555766,-1.472159483581989,S001
28.0,-126.0,129.07362240210043,D012,0.8901629131179339,15.926377597899574,-1.3521273809209546,0.48378212196436804,0,6.547674677963899,-7.8131562394385305,10.14760750549885,S001
42.0,-126.0,132.81566172707193,D013,0.9159700808763581,12.184338272928073,-1.2490457723982544,0.6761978243687784,0,14.031839933421637,-18.249451783762133,-10.013021920497852,S001
56.0,-126.0,137.88400922514546,D014,0.9509242015527273,7.115990774854538,-1.1525719972156676,0.8399903169267035,0,15.730762516175782,-19.168811198882462,-14.233724399008883,S001
70.0,-126.0,144.138821973818,D015,0.9940608411987449,0.8611780261819888,-1.0636978224025597,1.2750917382073723,1,19.270183328947674,-12.132955195005296,-34.730701916548156,S001
-84.0,-112.0,140.0,D016,0.9655172413793104,5.0,-2.214297435588181,1.1873946300502554,1,-13.175619287384462,-11.500520838408711,25.583141462629364,S001
-70.0,-112.0,132.07573584879245,D017,0.9108671437847755,12.924264151207552,-2.129395642138459,0.697836699647399,0,-9.649934401206906,-10.373459021941972,2.960668864285877,S001
-56.0,-112.0,125.21980673998823,D018,0.8635848740688843,19.78019326001177,-2.0344439357957027,0.35670810149222426,0,2.1330089159819074,-10.99870870939851,10.77499894090303,S001
-42.0,-112.0,119.61605243444544,D019,0.8249382926513479,25.383947565554564,-1.9295669970654687,0.22543532626812662,0,-1.165229032097821,-1.4307334005032466,6.511847352250182,S001
-28.0,-112.0,115.44695751729449,D020,0.7961859139123758,29.553042482705507,-1.8157749899217608,0.25597802122038704,0,7.384020796477595,-5.435231148957648,2.5783060335941825,S001
-14.0,-112.0,112.8716084761797,D021,0.7784248860426186,32.1283915238203,-1.695151321341658,0.0798469792231828,0,3.1002092139898902,-1.1386961382134921,-14.543150599840976,S001
0.0,-112.0,112.0,D022,0.7724137931034483,33.0,-1.5707963267948966,0.12037707723773795,0,7.496925617876229,-0.28961213265443986,1.9219233331617238,S001
