shot_id,elapsed_s,vacuum_kpa_abs,edge_temp_c,center_temp_c,press_pressure_mpa,platen_position_mm
S001,0.0,101.10880022192516,165.04107607204062,165.03103004571923,0.0,0.0
S001,0.5,79.17855517983314,165.86365839482198,165.7376936880905,0.0,0.0
S001,1.0,61.77134764960013,166.5432363313512,166.34251348023687,0.0,0.0
S001,1.5,47.85831147394503,167.18825686293732,166.87723425178325,0.0,0.0
S001,2.0,38.07210507948576,167.81493929488673,167.37888005973272,0.0,0.0
S001,2.5,30.24663742293857,168.41728592459893,168.09454380259223,0.0,0.0
S001,3.0,24.284064603343058,168.77594805824384,168.43945540396814,0.0,0.0
S001,3.5,19.68223309820425,169.3826340372752,168.78401721025838,0.0,0.0
S001,4.0,16.309067792161795,169.84247611862023,169.19560950136798,0.0,0.0
S001,4.5,13.438201470149334,170.10556008811204,169.57907357870272,0.0,0.0
S001,5.0,11.700619788431341,170.50561164895257,169.79044781133106,0.0,0.0
S001,5.5,9.352563933467025,170.67828141337975,170.10373845572718,0.0,0.0
S001,6.0,8.467215091378886,171.05874088225784,170.44903939605044,0.0,0.0
S001,6.5,7.687482341219619,171.26859995654252,170.64031858878766,0.0,0.0
S001,7.0,6.882378626009829,171.40051562868254,170.8608066693348,0.0,0.0
S001,7.5,6.562146902134236,171.71110189875992,171.14887322573617,0.0,0.0
S001,8.0,5.899732292561131,172.00487537453577,171.37237605385732,0.0,0.0
S001,8.5,5.240980460046307,172.05947951790952,171.4604679381459,1.0625,0.425
S001,9.0,5.061479514894006,172.36011368223015,171.62610803650418,2.125,0.85
S001,9.5,5.037205610212919,172.50363807859748,171.80733958912748,3.1875,1.275
S001,10.0,4.836025072560068,172.532250948508,171.86642079732468,4.25,1.7
S001,10.5,4.740250188495856,172.79086165716993,172.0319249033417,5.3125,2.125
S001,11.0,5.1372326910569255,172.84845699928763,172.28175612458077,6.375,2.55
S001,11.5,4.602824415256298,173.0926178052492,172.35269624207996,7.4375,2.975
S001,12.0,4.705309343001159,173.05307252189408,172.48046899708325,8.5,3.4
S001,12.5,4.700501265756331,173.18497368602058,172.49296744668203,8.5,3.8249999999999997
S001,13.0,4.764924849637039,173.19238000632748,172.52969674361628,8.5,4.25
S001,13.5,4.572995770041331,173.1732324679712,172.6496729815379,8.5,4.675
S001,14.0,4.329180791496473,173.3582443156073,172.65957295746603,8.5,5.0
S001,14.5,4.332153574603012,173.47621141962924,172.65244672468458,8.5,5.0
S001,15.0,4.509970818198425,173.59320061600587,172.83537965016242,8.5,5.0
S001,15.5,4.471279092750559,173.65029364722017,172.7884058190081,8.5,5.0
S001,16.0,4.401637612961941,173.56479086552375,172.90852574575902,8.5,5.0
S001,16.5,4.328310975160252,173.64912501822786,173.03830159023238,8.5,5.0
S001,17.0,4.064555241180147,173.61660763108705,173.11171435106743,8.5,5.0
S001,17.5,4.378876733048532,173.78875815341527,172.97825713528349,8.5,5.0
S001,18.0,4.549768103662838,173.65248258678,173.08989021643265,8.5,5.0
S001,18.5,4.5533026868234705,173.79776254573594,173.19363610052122,8.5,5.0
S001,19.0,4.327032575109408,173.86788820444053,173.15994452859968,8.5,5.0
S001,19.5,4.551711304641495,173.696710367555,173.15146806402652,8.5,5.0
S001,20.0,4.4200182472029335,173.7693945465429,173.18964099371686,8.5,5.0
S001,20.5,4.397829902029635,173.90299357053456,173.17581487234906,8.5,5.0
S001,21.0,4.608184131795271,173.7426376095188,173.18242691641368,8.5,5.0
S001,21.5,4.803073446956273,173.948184715173,173.2743000890608,8.5,5.0
S001,22.0,4.425928396311326,173.98084290800472,173.20772787702515,8.5,5.0
S001,22.5,4.363375704281355,173.9238234471958,173.17752242276688,8.5,5.0
S001,23.0,4.645808779486381,173.99966359251312,173.33318144589086,8.5,5.0
S001,23.5,4.5012990885679045,174.01984950193636,173.0746569242048,8.5,5.0
S001,24.0,4.110152105365333,174.01599181550364,173.38224381496016,8.5,5.0
S001,24.5,4.386561443075087,173.92041311951786,173.38409370673116,8.5,5.0
S001,25.0,4.386838911604505,174.01312270795998,173.3829251111851,8.5,5.0
S001,25.5,4.5034344214054265,174.02271037481898,173.32899190898243,8.5,5.0
S001,26.0,4.424891679369349,174.08961703399945,173.40156624292086,8.5,5.0
S001,26.5,4.628735975947717,173.98742928012564,173.48908146241934,8.5,5.0
S001,27.0,4.337096395566391,174.07417690207222,173.34321688538134,8.5,5.0
S001,27.5,4.349609436878967,174.07280789840013,173.47204376569363,8.5,5.0
S001,28.0,4.582612122014134,174.0486531999475,173.34719968220816,8.5,5.0
S001,28.5,4.463250367624196,174.06652667867954,173.4534907239405,8.5,5.0
S001,29.0,4.465503683653405,174.05445767577226,173.40583609583751,8.5,5.0
S001,29.5,4.370353209279146,174.03112138460287,173.40567640901264,8.5,5.0
S001,30.0,4.670028061074408,173.9899048171519,173.50164752062327,8.5,5.0
S002,0.0,101.26926307737625,164.95989160924967,164.9995683939939,0.0,0.0
S002,0.5,78.42880751910566,165.79820658803143,165.67651949049068,0.0,0.0
S002,1.0,61.37712183509422,166.24683133642225,166.3727227338429,0.0,0.0
S002,1.5,47.754100590229974,167.02302457149239,166.73555309907874,0.0,0.0
S002,2.0,37.42742762022678,167.50377203052875,167.26804715755338,0.0,0.0
S002,2.5,30.173985564134526,168.16530514451972,167.69212417803692,0.0,0.0
S002,3.0,24.103283083969195,168.66377589208793,168.000671853617,0.0,0.0
S002,3.5,19.707511402300224,168.94394655788793,168.5496217655826,0.0,0.0
S002,4.0,15.749153100249886,169.40249605875152,169.04857903036228,0.0,0.0
S002,4.5,13.248606322322559,169.7825439768064,169.09741995967855,0.0,0.0
S002,5.0,11.295134136257102,170.04818097762896,169.4703993788119,0.0,0.0
S002,5.5,9.247659952170052,170.35814442522891,169.65022135772082,0.0,0.0
S002,6.0,8.63213060993945,170.5817753591628,170.01100960918905,0.0,0.0
S002,6.5,7.534350977093759,170.8699432678307,170.10906660873073,0.0,0.0
S002,7.0,6.967421194015738,171.16768255411307,170.36410135848155,0.0,0.0
S002,7.5,6.322374151825597,171.2882041333257,170.60885024846797,0.0,0.0
S002,8.0,5.783642822029566,171.4983217756539,170.79417349502296,0.0,0.0
S002,8.5,5.236790098270202,171.71438709899292,170.86372460794334,1.0625,0.5
S002,9.0,5.468885575535179,171.86785970294508,170.9608854933725,2.125,1.0
